
> innovation_lab_b67c0141@0.1.0 dev
> next dev --turbopack -H 0.0.0.0

   ▲ Next.js 15.4.1 (Turbopack)
   - Local:        http://localhost:54465
   - Network:      http://0.0.0.0:54465
   - Experiments (use with caution):
 GET / 200 in 46ms
 GET / 200 in 54ms
 GET / 200 in 58ms
 GET / 200 in 44ms
 GET / 200 in 62ms
 GET / 200 in 52ms
 GET / 200 in 48ms
 GET / 200 in 43ms
 GET / 200 in 53ms
 GET / 200 in 44ms
 GET / 200 in 61ms
 GET / 200 in 42ms
 GET / 200 in 57ms
 GET / 200 in 47ms
 GET / 200 in 51ms
 GET / 200 in 52ms
 GET / 200 in 64ms
 GET / 200 in 48ms
 GET / 200 in 67ms
 GET / 200 in 50ms
 GET / 200 in 58ms
 GET / 200 in 45ms
 GET / 200 in 49ms
 GET / 200 in 64ms
 GET / 200 in 64ms
 GET / 200 in 48ms
 GET / 200 in 53ms
 GET / 200 in 46ms
 GET / 200 in 50ms
 GET / 200 in 45ms
 GET / 200 in 61ms
 GET / 200 in 46ms
 GET / 200 in 47ms
 GET / 200 in 43ms
 GET / 200 in 51ms
 GET / 200 in 43ms
 GET / 200 in 54ms
 GET / 200 in 49ms
 GET / 200 in 61ms
 GET / 200 in 45ms
 GET / 200 in 47ms
 GET / 200 in 44ms
 GET / 200 in 71ms
 GET / 200 in 45ms
 GET / 200 in 57ms
 GET / 200 in 45ms
 GET / 200 in 77ms
 GET / 200 in 60ms
 GET / 200 in 56ms
 GET / 200 in 51ms
 GET / 200 in 55ms
 GET / 200 in 44ms
 GET / 200 in 70ms
 GET / 200 in 50ms
 GET / 200 in 55ms
 GET / 200 in 50ms
 GET / 200 in 69ms
 GET / 200 in 48ms
 GET / 200 in 73ms
 GET / 200 in 58ms
 GET / 200 in 86ms
 GET / 200 in 55ms
 GET / 200 in 57ms
 GET / 200 in 56ms
 GET / 200 in 65ms
 GET / 200 in 48ms
 GET / 200 in 57ms
 GET / 200 in 50ms
 GET / 200 in 49ms
 GET / 200 in 49ms
 GET / 200 in 59ms
 GET / 200 in 67ms
 GET / 200 in 74ms
 GET / 200 in 54ms
 GET / 200 in 65ms
 GET / 200 in 55ms
 GET / 200 in 61ms
 GET / 200 in 48ms
 GET / 200 in 53ms
 GET / 200 in 57ms
 GET / 200 in 58ms
 GET / 200 in 60ms
 GET / 200 in 57ms
 GET / 200 in 45ms
 GET / 200 in 64ms
 GET / 200 in 47ms
 GET / 200 in 52ms
 GET / 200 in 58ms
 GET / 200 in 75ms
 GET / 200 in 52ms
 GET / 200 in 59ms
 GET / 200 in 47ms
 GET / 200 in 62ms
 GET / 200 in 53ms
 GET / 200 in 80ms
 GET / 200 in 59ms
 GET / 200 in 64ms
 GET / 200 in 53ms
 GET / 200 in 68ms
 GET / 200 in 49ms
 GET / 200 in 58ms
 GET / 200 in 46ms
 GET / 200 in 68ms
 GET / 200 in 55ms
 GET / 200 in 80ms
 GET / 200 in 60ms
 GET / 200 in 60ms
 GET / 200 in 52ms
 GET / 200 in 61ms
 GET / 200 in 55ms
 GET / 200 in 66ms
 GET / 200 in 51ms
 GET / 200 in 55ms
 GET / 200 in 44ms
 GET / 200 in 66ms
 GET / 200 in 54ms
 GET / 200 in 55ms
 GET / 200 in 60ms
 GET / 200 in 80ms
 GET / 200 in 58ms
 GET / 200 in 73ms
 GET / 200 in 51ms
 GET / 200 in 58ms
 GET / 200 in 47ms
 GET / 200 in 63ms
 GET / 200 in 62ms
 GET / 200 in 66ms
 GET / 200 in 51ms
 GET / 200 in 50ms
 GET / 200 in 45ms
 GET / 200 in 56ms
 GET / 200 in 51ms
 GET / 200 in 75ms
 GET / 200 in 60ms
 GET / 200 in 58ms
 GET / 200 in 52ms
 GET / 200 in 60ms
 GET / 200 in 50ms
 GET / 200 in 59ms
 GET / 200 in 55ms
 GET / 200 in 59ms
 GET / 200 in 46ms
 GET / 200 in 70ms
 GET / 200 in 52ms
 GET / 200 in 57ms
 GET / 200 in 53ms
 GET / 200 in 58ms
 GET / 200 in 46ms
 GET / 200 in 64ms
 GET / 200 in 44ms
 GET / 200 in 54ms
 GET / 200 in 45ms
 GET / 200 in 76ms
 GET / 200 in 55ms
 GET / 200 in 66ms
 GET / 200 in 52ms
 GET / 200 in 56ms
 GET / 200 in 47ms
 GET / 200 in 60ms
 GET / 200 in 49ms
 GET / 200 in 72ms
 GET / 200 in 53ms
 GET / 200 in 56ms
 GET / 200 in 47ms
 GET / 200 in 52ms
 GET / 200 in 47ms
 GET / 200 in 78ms
 GET / 200 in 55ms
 GET / 200 in 61ms
 GET / 200 in 49ms
 GET / 200 in 55ms
 GET / 200 in 45ms
 GET / 200 in 59ms
 GET / 200 in 52ms
 GET / 200 in 51ms
 GET / 200 in 44ms
 GET / 200 in 57ms
 GET / 200 in 43ms
 GET / 200 in 66ms
 GET / 200 in 46ms
 GET / 200 in 79ms
 GET / 200 in 61ms
 GET / 200 in 59ms
 GET / 200 in 49ms
 GET / 200 in 62ms
 GET / 200 in 48ms
 GET / 200 in 55ms
 GET / 200 in 59ms
 GET / 200 in 59ms
 GET / 200 in 52ms
 GET / 200 in 58ms
 GET / 200 in 55ms
 GET / 200 in 57ms
 GET / 200 in 50ms
 GET / 200 in 91ms
 GET / 200 in 57ms
 GET / 200 in 64ms
 GET / 200 in 63ms
 GET / 200 in 64ms
 GET / 200 in 47ms
 GET / 200 in 66ms
 GET / 200 in 52ms
 GET / 200 in 62ms
 GET / 200 in 52ms
 GET / 200 in 66ms
 GET / 200 in 57ms
 GET / 200 in 74ms
 GET / 200 in 51ms
 GET / 200 in 78ms
 GET / 200 in 57ms
 GET / 200 in 62ms
 GET / 200 in 54ms
 GET / 200 in 69ms
 GET / 200 in 52ms
 GET / 200 in 64ms
 GET / 200 in 51ms
 GET / 200 in 67ms
 GET / 200 in 52ms
 GET / 200 in 65ms
 GET / 200 in 52ms
 GET / 200 in 64ms
 GET / 200 in 52ms
 GET / 200 in 81ms
 GET / 200 in 66ms
 GET / 200 in 76ms
 GET / 200 in 61ms
 GET / 200 in 62ms
 GET / 200 in 47ms
 GET / 200 in 66ms
 GET / 200 in 62ms
 GET / 200 in 58ms
 GET / 200 in 52ms
 GET / 200 in 63ms
 GET / 200 in 65ms
 GET / 200 in 58ms
 GET / 200 in 56ms
 GET / 200 in 57ms
 GET / 200 in 53ms
 GET / 200 in 69ms
 GET / 200 in 46ms
 GET / 200 in 54ms
 GET / 200 in 51ms
 GET / 200 in 63ms
 GET / 200 in 50ms
 GET / 200 in 71ms
 GET / 200 in 49ms
 GET / 200 in 58ms
 GET / 200 in 72ms
 GET / 200 in 53ms
 GET / 200 in 67ms
 GET / 200 in 71ms
 GET / 200 in 63ms
 GET / 200 in 60ms
 GET / 200 in 61ms
 GET / 200 in 59ms
 GET / 200 in 79ms
 GET / 200 in 67ms
 GET / 200 in 60ms
 GET / 200 in 49ms
 GET / 200 in 75ms
 GET / 200 in 55ms
 GET / 200 in 65ms
 GET / 200 in 66ms
 GET / 200 in 59ms
 GET / 200 in 54ms
 GET / 200 in 64ms
 GET / 200 in 59ms
 GET / 200 in 67ms
 GET / 200 in 53ms
 GET / 200 in 60ms
 GET / 200 in 67ms
 GET / 200 in 65ms
 GET / 200 in 55ms
 GET / 200 in 70ms
 GET / 200 in 62ms
 GET / 200 in 58ms
 GET / 200 in 67ms
 GET / 200 in 53ms
 GET / 200 in 56ms
 GET / 200 in 52ms
 GET / 200 in 49ms
 GET / 200 in 57ms
 GET / 200 in 46ms
 GET / 200 in 72ms
 GET / 200 in 47ms
 GET / 200 in 54ms
 GET / 200 in 42ms
 GET / 200 in 61ms
 GET / 200 in 44ms
 GET / 200 in 73ms
 GET / 200 in 47ms
 GET / 200 in 54ms
 GET / 200 in 48ms
 GET / 200 in 79ms
 GET / 200 in 56ms
 GET / 200 in 71ms
 GET / 200 in 50ms
 GET / 200 in 57ms
 GET / 200 in 55ms
 GET / 200 in 51ms
 GET / 200 in 63ms
 GET / 200 in 56ms
 GET / 200 in 70ms
 GET / 200 in 51ms
 GET / 200 in 62ms
 GET / 200 in 50ms
 GET / 200 in 64ms
 GET / 200 in 51ms
 GET / 200 in 65ms
 GET / 200 in 52ms
 GET / 200 in 57ms
 GET / 200 in 56ms
 GET / 200 in 63ms
 GET / 200 in 57ms
 GET / 200 in 73ms
 GET / 200 in 52ms
 GET / 200 in 54ms
 GET / 200 in 50ms
 GET / 200 in 70ms
 GET / 200 in 76ms
 GET / 200 in 67ms
 GET / 200 in 67ms
 GET / 200 in 70ms
 GET / 200 in 68ms
 GET / 200 in 70ms
 GET / 200 in 64ms
 GET / 200 in 55ms
